valence,year,acousticness,artists_combined,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artist_count,artist_1,genre,anomaly
0.784,1925,0.81,['Tommy Dorsey'],0.526,239133,0.428,0,0ldgrcj6lJNJLA0VMN73WL,0.86,8,0.785,-10.731,1,Easy Does It,2,1/1/1925,0.317,176.681,1,Tommy Dorsey,Big band,-1
0.775,1928,0.912,['Benny Goodman'],0.618,255227,0.829,0,3aNe3EWNK7GACBChhcxjJ2,0.871,7,0.964,-7.57,0,Roll 'Em,14,1/1/1928,0.109,98.192,1,Benny Goodman,swing,-1
0.627,1928,0.933,['Benny Goodman'],0.606,172893,0.827,0,1K2ZlQqdW2h6ax9fye2vaw,0.898,1,0.935,-9.035,1,King Porter Stomp,14,1/1/1928,0.174,118.9,1,Benny Goodman,swing,-1
0.0383,1928,0.984,['Benny Goodman'],0.223,170133,0.332,0,3yQQfTwnX90jjxaNJA90TL,0.853,4,0.946,-9.581,1,Goodbye,10,1/1/1928,0.043,62.153,1,Benny Goodman,swing,-1
0.961,1934,0.991,['Louis Armstrong'],0.697,160470,0.404,0,0Y4XuSc5sdrH14rFyaFJaK,0.723,7,0.748,-10.104,1,St. Louis Blues,14,1/1/1934,0.378,127.859,1,Louis Armstrong,jazz,-1
0.435,1938,0.646,['Benny Goodman'],0.58,55227,0.889,0,5Eum7gvyrgRdWS9to9c08K,0.819,7,0.427,-11.911,1,Shine - Live,10,1/1/1938,0.694,176.195,1,Benny Goodman,swing,-1
0.297,1938,0.473,['Benny Goodman'],0.367,52200,0.94,0,6uidiSJ2xvXO6VPLDax7nR,0.774,0,0.421,-13.034,1,When My Baby Smiles at Me - Live,10,1/1/1938,0.372,185.574,1,Benny Goodman,swing,-1
1e-05,1938,0.0132,['Benny Goodman'],0.175,41240,0.999,0,6WZeWvIq7tPj2WwlCLwTEh,0.916,10,0.518,-19.789,0,"Applause, Transition to Twenty Years of Jazz - Live",9,1/1/1938,0.471,82.808,1,Benny Goodman,swing,-1
0.0374,1938,8.96e-05,['Benny Goodman'],0.248,39560,0.516,0,2OCiQGct4wAUOQcHmSkHif,0.849,10,0.41,-25.254,0,Setting Up for Jam Session - Live,8,1/1/1938,0.354,85.935,1,Benny Goodman,swing,-1
1e-05,1938,0.88,['Benny Goodman'],0.298,73933,1.0,0,4jmpeJO5XS9MukFzhARGrS,0.889,6,0.403,-19.537,1,Applause; Benny Goodman's 'No Encore' Announcement - Live,7,1/1/1938,0.095,93.226,1,Benny Goodman,swing,-1
0.0171,1938,0.00985,['Benny Goodman'],0.191,59933,0.884,0,5vMr5fkLJIk7u0hqQKcI2f,0.843,1,0.412,-24.609,1,Applause; Setting Up & Tuning Up for BG Small Groups - Live,7,1/1/1938,0.486,79.205,1,Benny Goodman,swing,-1
1e-05,1938,0.461,['Benny Goodman'],0.201,62827,0.985,0,1RGSi9aDO691Hxb90Yi9VG,0.561,1,0.974,-25.159,1,Applause Until Encores - Live,6,1/1/1938,0.095,106.169,1,Benny Goodman,swing,-1
0.149,1938,0.646,['Benny Goodman'],0.497,732333,0.491,0,33izy4mhfEZe8oWuMmv8PD,0.781,11,0.979,-12.128,1,"Sing, Sing, Sing - Live",9,1/1/1938,0.115,109.325,1,Benny Goodman,swing,-1
1e-05,1938,0.835,['Benny Goodman'],0.264,41093,1.0,0,3RFogvPJRYXVCv9qlotTKK,0.693,11,0.951,-22.887,0,Applause; Transition Back to Goodman Orchestra for Finale - Live,5,1/1/1938,0.0722,52.339,1,Benny Goodman,swing,-1
0.0144,1938,0.00114,['Benny Goodman'],0.165,32173,0.664,0,5zwbTwolXfieUvPv8QkhET,0.9,6,0.381,-26.748,0,Applause; Setting-up for BG Small Groups - Live,6,1/1/1938,0.153,78.645,1,Benny Goodman,swing,-1
0.849,1938,0.985,['Benny Goodman'],0.716,22973,0.214,0,0Flc3LqCcD5yvp6tFcGHz2,0.0,3,0.154,-21.489,1,Avalon - Live,0,1/1/1938,0.946,60.555,1,Benny Goodman,swing,-1
0.901,1939,0.99,['Harry James'],0.439,148893,0.419,0,5XlfPTphooPiHuIECZQ5iQ,0.923,5,0.907,-13.656,1,Ciribiribin (They're So In Love),20,1/1/1939,0.217,207.68,1,Harry James,swing,-1
0.538,1939,0.824,['Benny Goodman'],0.651,565533,0.343,0,6IsyKAfcH79ND0W7d8r2y6,0.804,10,0.881,-16.812,1,Sing Sing Sing (With a Swing) - Live,10,1/1/1939,0.111,112.366,1,Benny Goodman,swing,-1
0.88,1939,0.99,['Harry James'],0.528,149493,0.501,0,676EgoYzsraev20cq1wqko,0.913,5,0.9,-11.188,1,Ciribiribin (They're So In Love),4,1/1/1939,0.167,102.721,1,Harry James,swing,-1
0.393,1943,0.979,['Frank Sinatra'],0.584,89267,0.175,0,10EtiDDUz7GoRRpGD3vQpj,0.0,2,0.746,-19.122,1,Night And Day (Show Opening),10,1/1/1943,0.752,117.984,1,Frank Sinatra,swing,-1
0.0356,1950,0.945,"['Stan Kenton', 'June Christy']",0.151,263560,0.0611,0,1afaBH70jAwIC2qz5DVBmN,0.577,0,0.376,-18.26,1,Conflict,11,1/1/1950,0.0425,181.341,2,Stan Kenton,West Coast jazz,-1
